id,name,category,price,description,brand,color,image_path,image_hash
1,AirPods Sport,electronique,1207.49,AirPods Sport avec des fonctionnalitÃ©s avancÃ©es et une qualitÃ© exceptionnelle.,,blanc,electronique/airpods_01.jpg,2aa62878ce189d63dae23beeafba320e
2,AirPods Casual,electronique,1503.99,AirPods Casual avec des fonctionnalitÃ©s avancÃ©es et une qualitÃ© exceptionnelle.,,blanc,electronique/airpods_02.jpg,662b76cfa6d7bd3d52a6852e50a56708
3,AirPods Design,electronique,221.49,"AirPods Design haute performance, design moderne et ergonomique.",,bleu,electronique/airpods_03.jpg,9457fc6f715d12b4bf3eb721454723b7
4,AirPods Classique,electronique,1207.99,"AirPods Classique avec les derniÃ¨res technologies, garantie constructeur incluse.",,bleu,electronique/airpods_04.jpg,62933be067fcbec3dc0ec341a32b54de
5,AirPods Sport,electronique,1849.99,"AirPods Sport avec les derniÃ¨res technologies, garantie constructeur incluse.",,blanc,electronique/airpods_05.jpg,dea4b24798e2d2228b7014ae8c4c64ae
6,AirPods Ã‰lÃ©gant,electronique,1122.49,"AirPods Ã‰lÃ©gant avec les derniÃ¨res technologies, garantie constructeur incluse.",,bleu,electronique/airpods_06.jpg,eaa46d9b2cd8d98a870a53a35e20e030
7,AirPods Casual,electronique,1937.99,"AirPods Casual avec les derniÃ¨res technologies, garantie constructeur incluse.",,bleu,electronique/airpods_07.jpg,e6a2ae222a4208a3ab7037df7fe62d6e
8,AirPods Classique,electronique,1743.99,"AirPods Classique avec les derniÃ¨res technologies, garantie constructeur incluse.",,vert,electronique/airpods_08.jpg,dd1ac44d34662b1016a1e1ceea8f44f0
9,Appareil photo Sport,electronique,195.99,Appareil photo Sport avec des fonctionnalitÃ©s avancÃ©es et une qualitÃ© exceptionnelle.,,noir,electronique/camera_01.jpg,78877db944d26fa562f171f0f66d7a93
10,Appareil photo Casual,electronique,1625.99,"Appareil photo Casual avec les derniÃ¨res technologies, garantie constructeur incluse.",,noir,electronique/camera_02.jpg,3008fb2145406349b0d390f180b3396f
11,Appareil photo Classique,electronique,33.49,"Appareil photo Classique haute performance, design moderne et ergonomique.",,noir,electronique/camera_03.jpg,f663444a849d5505cdcc058a17cd01e4
12,Appareil photo Classique,electronique,1846.99,"Appareil photo Classique haute performance, design moderne et ergonomique.",,noir,electronique/camera_04.jpg,ec0465f7692f90f888ae5610fa26c025
13,Appareil photo Casual,electronique,1522.49,Appareil photo Casual avec des fonctionnalitÃ©s avancÃ©es et une qualitÃ© exceptionnelle.,,noir,electronique/camera_05.jpg,0eff63f491e38630f683f32c08340635
14,Appareil photo Casual,electronique,561.49,"Appareil photo Casual haute performance, design moderne et ergonomique.",,blanc,electronique/camera_06.jpg,faa05e5af83d576f623977ac9fb4e075
15,Appareil photo Sport,electronique,1298.99,Appareil photo Sport avec des fonctionnalitÃ©s avancÃ©es et une qualitÃ© exceptionnelle.,,blanc,electronique/camera_07.jpg,b0dc1ae71921938d2b1d1dba9d0b3081
16,Appareil photo Moderne,electronique,1651.99,"Appareil photo Moderne avec les derniÃ¨res technologies, garantie constructeur incluse.",,noir,electronique/camera_08.jpg,e3db461d9c44806145302f288f9c34b2
17,Casque audio Sport,electronique,1095.99,"Casque audio Sport avec les derniÃ¨res technologies, garantie constructeur incluse.",,noir,electronique/casque_01.jpg,53b2c35ca8d2d43c80072b7972bac0dd
18,Casque audio Sport,electronique,1861.49,Casque audio Sport avec des fonctionnalitÃ©s avancÃ©es et une qualitÃ© exceptionnelle.,,bleu,electronique/casque_02.jpg,f95178f5a61bc93c930b16cd2da2c228
19,Casque audio Moderne,electronique,1238.99,"Casque audio Moderne avec les derniÃ¨res technologies, garantie constructeur incluse.",,noir,electronique/casque_03.jpg,ef615ab14ed43791050c0235a0f50e0c
20,Casque audio Moderne,electronique,328.99,"Casque audio Moderne haute performance, design moderne et ergonomique.",,noir,electronique/casque_04.jpg,957c2048d9775bc26f0ec0378cd5f14b
21,Casque audio Design,electronique,248.99,"Casque audio Design avec les derniÃ¨res technologies, garantie constructeur incluse.",,rouge,electronique/casque_05.jpg,9496826c2c3d8b6b2fec196edd08bbdf
22,Casque audio Classique,electronique,306.99,"Casque audio Classique haute performance, design moderne et ergonomique.",,gris,electronique/casque_06.jpg,25f3907059aca1843800711998c07c72
23,Montre Classique,electronique,474.49,"Montre Classique avec les derniÃ¨res technologies, garantie constructeur incluse.",,noir,electronique/montre_01.jpg,69c7a1425cada6e8b0d2fcc84baec16e
24,Montre Classique,electronique,812.99,Montre Classique avec des fonctionnalitÃ©s avancÃ©es et une qualitÃ© exceptionnelle.,,noir,electronique/montre_02.jpg,b94d5e299061145868ec72119876342c
25,Montre Casual,electronique,50.49,"Montre Casual avec les derniÃ¨res technologies, garantie constructeur incluse.",,gris,electronique/montre_03.jpg,7c64554bae45c731a74436dd7f052f35
26,Montre Ã‰lÃ©gant,electronique,1149.49,"Montre Ã‰lÃ©gant avec les derniÃ¨res technologies, garantie constructeur incluse.",,gris,electronique/montre_04.jpg,b17fbcba3f28d93da0f6f9e905ebc553
27,Montre Moderne,electronique,1270.99,Montre Moderne avec des fonctionnalitÃ©s avancÃ©es et une qualitÃ© exceptionnelle.,,gris,electronique/montre_05.jpg,e71a04e70d087478a2e065334933b985
28,Ordinateur portable Premium,electronique,252.49,"Ordinateur portable Premium haute performance, design moderne et ergonomique.",,gris,electronique/pc_01.jpg,fd56f4d583cbfe6abd55b4bc262e7b92
29,Ordinateur portable Design,electronique,493.99,"Ordinateur portable Design avec les derniÃ¨res technologies, garantie constructeur incluse.",,gris,electronique/pc_02.jpg,3fa42782ac071baea0e7b799d5ca0685
30,Ordinateur portable Sport,electronique,604.99,"Ordinateur portable Sport avec les derniÃ¨res technologies, garantie constructeur incluse.",,noir,electronique/pc_03.jpg,ede3106546f246df28afa3085ffc753f
31,Ordinateur portable Casual,electronique,1339.99,"Ordinateur portable Casual avec les derniÃ¨res technologies, garantie constructeur incluse.",,noir,electronique/pc_04.jpg,362a0491fde47b15ebe1171fa09ba63d
32,Ordinateur portable Moderne,electronique,738.99,"Ordinateur portable Moderne haute performance, design moderne et ergonomique.",,gris,electronique/pc_05.jpg,ee052393656385afd66397f6566bed78
33,Ordinateur portable Design,electronique,479.99,"Ordinateur portable Design avec les derniÃ¨res technologies, garantie constructeur incluse.",,noir,electronique/pc_06.jpg,8ab6f2a44b9cb5a701c90cfb7ed51962
34,Ordinateur portable Design,electronique,1037.49,"Ordinateur portable Design haute performance, design moderne et ergonomique.",,noir,electronique/pc_07.jpg,cb71276d27f508982abb267ef7f74e58
35,TÃ©lÃ©phone Casual,electronique,266.49,"TÃ©lÃ©phone Casual haute performance, design moderne et ergonomique.",,noir,electronique/telephone_01.jpg,d69c745b1d837d409c5fa0bbb46e45e7
36,TÃ©lÃ©phone Design,electronique,1264.49,"TÃ©lÃ©phone Design avec les derniÃ¨res technologies, garantie constructeur incluse.",,noir,electronique/telephone_02.jpg,908843023cd4eb7628ae56dddee20347
37,TÃ©lÃ©phone Moderne,electronique,1907.49,"TÃ©lÃ©phone Moderne avec les derniÃ¨res technologies, garantie constructeur incluse.",,bleu,electronique/telephone_03.jpg,c1a77f9297eda2e33d133d6244c5ee3a
